数据分类,配件类别,产品系列,物料名称,物料代码,物料描述,备注,标签,标识,IMG
配件,扩展配件,IDH2000RF底座,MV-IDH2000RF/CBASE/U(国内标配)无包装,313201764,IDH2000RF无线手持巴枪底座，USB接口,底座单独物料：313201624,CBRF2H,1,CBB2
配件,扩展配件,IDH2000RF底座,MV-IDH2000RF/CBASE/U(国内中性)无包装,313201798,IDH2000RF无线手持巴枪底座，USB接口,底座单独物料：313201806,CBRF2N,1,CBB2
配件,扩展配件,IDH2000B底座,MV-IDH2000B/CBASE/U(国内标配)无包装,313201942,IDH2000B、IDH2000PB无线手持巴枪底座，USB接口,底座单独物料：313201939,CBB2H,1,CBB2
配件,扩展配件,IDH2000B底座,MV-IDH2000B/CBASE/U(国内中性)无包装,313201943,IDH2000B、IDH2000PB无线手持巴枪底座，USB接口,底座单独物料：313201938,CBB2N,1,CBB2
配件,扩展配件,IDH3000B底座U口,MV-IDH3000B/SBASE/U/国内版无包装V3.0,313202529,IDH3000B无线巴枪底座，USB口接口,底座单独物料：313203048(标配)；313203047(中性),CBB3H-U,1,CBB3
配件,扩展配件,IDH3000B底座网口,MV-IDH3000B/SBASE/L/国内版无包装V3.0,313202528,IDH3000B无线巴枪底座，网口接口,底座单独物料：313203052(标配)；313203051(中性),CBB3H-L,1,CBB3
配件,扩展配件,IDH3000B底座网口,MV-IDH3000B/SBASE/LE/国内版无包装V3.0,313202543,IDH3000B无线巴枪底座，网口接口，支持工业协议,底座单独物料：313203056(标配)；313203055(中性),CBB3H-LE,1,CBB3
配件,扩展配件,IDH7000B底座网口,MV-IDH7000B/SBASE/U/国内版无包装,313201360,IDH7000B无线巴枪底座，USB接口,底座单独物料：313200606(标配)；313200615(中性),CBB7H-U,1,CBB7
配件,扩展配件,IDH7000B底座网口,MV-IDH7000B/SBASE/L/国内版无包装,313201362,IDH7000B无线巴枪底座，网口接口,底座单独物料：313200617(标配)；313200908(中性),CBB7H-L,1,CBB7
配件,扩展配件,IDH9000B底座网口,MV-IDH9000B/SBASE/U/国内标配无包装,313202515,IDH9000B无线巴枪底座，USB接口,底座单独物料：313202579,CBB9H-U,1,CBB9
配件,扩展配件,IDH9000B底座网口,MV-IDH9000B/SBASE/U/国内中性无包装,313202743,IDH9000B无线巴枪底座，USB接口,底座单独物料：313202140,CBB9N-U,1,CBB9
配件,扩展配件,IDH9000B底座网口,MV-IDH9000B/SBASE/L/国内标配无包装,313202516,IDH9000B无线巴枪底座，网口接口,底座单独物料：313202141,CBB9H-L,1,CBB9
配件,扩展配件,IDH9000B底座网口,MV-IDH9000B/SBASE/L/国内中性无包装,313202741,IDH9000B无线巴枪底座，网口接口,底座单独物料：313202141,CBB9N-L,1,CBB9
配件,扩展配件,巴枪壁挂支架, V-读码器017-壁挂支架-黑,190231074,巴枪壁挂支架，全系列通用,,17B,0,17B
配件,扩展配件,巴枪立式支架,V-读码器019-立式支架-黑,190233838,巴枪立式支架，仅适配IDH2000系列,,19L,0,17L
配件,扩展配件,巴枪立式支架,V-读码器017-立式支架-黑,190231199,巴枪立式支架，适配IDH3000和IDH7000,,17L,0,17L
配件,扩展配件,IDP3204电池,BAT-EDA40K,365009478,标称电压3.85V，额定容量4850mAh，充电电压4.4V，适配IDP3204系列,属于外采物料，不常备库存，需要的话请提前下单,BAT32,0,
配件,扩展配件,IDP3204四联充,MV-IDA-P32-CBASE-04,363300497,键盘款四联充充电底座，适配IDP3204系列,,P32,0,
配件,扩展配件,IDP4104电池,PDA18650-2P,101900799,"C,可充电锂离子电池,PDA18650-2P,3.6V,5000mA*h,可更换，适配IDP4104系列",,BAT41,1,
配件,扩展配件,IDP4104单座充,DS-MH1421-501(国内中性),307500543,单电池、单设备混充，适配IDP4104系列,,P41,0,
配件,扩展配件,IDP4104长键盘手柄,DS-MH1721-501(国内中性),307500835,手柄，适配IDP4104系列,,MH41,0,
配件,扩展配件,IDP5102单座充,DS-MH1421-200(国内中性),303201782,设备单座充，适配IDP5102系列,,P5102,0,
配件,扩展配件,IDP5102六联充,DS-MH1426-200(国内标配),307500636,支持6个PDA同时充电，适配IDP5102系列,,P5102,0,
配件,扩展配件,IDP510X全面屏手柄,DS-MH1731(国内标配),307500369,手柄，适配IDP5102系列,,MH510,0,
配件,扩展配件,IDP5104单座充,DS-MH1421-201(国内中性),303201600,设备单座充，适配IDP5104系列,,P5104,0,
配件,扩展配件,IDP5104六联充,DS-MH1426-201(国内标配),303201715,支持6个PDA同时充电，适配IDP5104系列,,P5104,0,
配件,扩展配件,IDP5114电池,DS-MH1324-202,101900989,"DS-MH1324-202,3.85V,5000mA*h,可更换，适配IDP5114系列",,BAT51,1,
配件,扩展配件,IDP5114单座充,DS-MH1421-202(国内中性),307500688,设备单座充，适配IDP5114系列,,P5114,0,
配件,扩展配件,IDP5114四联充,DS-MH1424-L(国内标配),307500619,支持4个电池同时充电，适配IDP5114系列,,P5114,0,
配件,扩展配件,IDP5114全面屏手柄,DS-MH1721-202(国内中性),307500788,手柄，适配IDP5114系列,,MH511,0,
配件,扩展配件,IDP系列挂绳,扫码1-挂绳,190609307,防摔绳（挂绳）,,IDPS,1,
配件,扩展配件,ID7000反光镜,MV-ID7000-850mm-B,310100053,线扫读码配套850mm长反光镜,含边框尺寸863mm*178mm,ID7000,0,ID7000-B
配件,扩展配件,ID7000反光镜,MV-ID7000-1150mm-B,310100054,线扫读码配套1150mm长反光镜,含边框尺寸1163mm*178mm,ID7000,0,ID7000-B
配件,扩展配件,ID7000反光镜,MV-ID7000-550mm-B,310100775,线扫读码配套500mm长反光镜，供包台专用,供包台场景使用,ID7000,0,ID7000-B
配件,扩展配件,ID7000反光镜,MV-ID7000-850mm-MC,307200248,新品手拉式清洁反光镜，已发布。建议使用,,ID7000,0,ID7000-MC
配件,扩展配件,ID7000反光镜,MV-ID7000-550mm-MC,307200290,新品手拉式清洁反光镜，已发布。建议使用,,ID7000,0,ID7000-MC
配件,扩展配件,ID7000反光镜,MV-ID7000-500mm-EB3.0,307200215,线扫读码配套550mm长反光镜，带电动清洁装置,,ID7000,0,ID7000-EBB
配件,扩展配件,ID7000反光镜,MV-ID7000-850mm-EB3.0,307200205,线扫读码配套850mm长反光镜，带电动清洁装置,,ID7000,0,ID7000-EBB
配件,扩展配件,ID7000反光镜,MV-ID7000-850mm-EB3.1,307200205,基于EB3.0，增加外接1.5米甩线按钮。,,ID7000,0,ID7000-EBB
配件,扩展配件,ID1010软解开发板套装,MV-ID1000-Devboard-SW-1010MG(国内标配),313202686,"包含：202407171，ID1010MG单摄软解模组开发板；202402784，MV-24069V1.0，模组与开发板的FPC连接线；101511646，电源开关线,船型开关,12V电源,XH2转电源开关,95cm",,SW-1010MG,0,
配件,扩展配件,ID1013软解开发板套装,MV-ID1000-Devboard-SW-1013MG(国内标配),313202687,"包含：202407171，ID1010MG单摄软解模组开发板；202402784，MV-24069V1.0，模组与开发板的FPC连接线；101511646，电源开关线,船型开关,12V电源,XH2转电源开关,95cm",,SW-1013MG,0,
配件,扩展配件,ID1310软解开发板套装,远距离模组开发板,202403309,MV-29183(V1.0)，远距离模组开发板,,SW-1310MG,0,
配件,扩展配件,ID1310软解开发板套装,远距离模组连接线,101252288,"FPC-MV-24175 REV1.1,，远距离模组连接线",,SW-1310MG,0,
配件,扩展配件,ID1310软解开发板套装,电源开关线,101511646,"电源开关线,船型开关,12V电源,XH2转电源开关,95cm",,SW-1310MG,0,
配件,扩展配件,ID1013硬解开发板套装,硬解模组开发板,202402969,模组开发板。可搭配IDMVS客户端+开发板+模组测试。,,SW-1013D,0,
配件,扩展配件,ID1013硬解开发板套装,"FFC线, 12芯, 0.5mm间距 ",101515299,"FFC信号线，用于数据传输。FFC线,12芯,0.5mm间距,75mm,同面 75mm的FPC排线 ",,SW-1013D,0,
配件,扩展配件,ID1013硬解开发板套装,"FPC线, FPC-0060 REV1.0",101211754,"FPC信号线，用于串口调试。0.5*14P,PI,200mm,单面,异面,黄色",,SW-1013D,0,
配件,扩展配件,PRO-13D硬解开发板套装,硬解模组开发板,202404823,模组开发板。可搭配IDMVS客户端+开发板+模组测试。,,SW-PRO,0,
配件,扩展配件,PRO-13D硬解开发板套装,"FFC线, 12芯, 0.5mm间距 ",101515299,"FFC信号线，用于数据传输。FFC线,12芯,0.5mm间距,75mm,同面 75mm的FPC排线 ",,SW-PRO,0,
配件,扩展配件,PRO-13D硬解开发板套装,"FPC线, FPC-0060 REV1.0",101211754,"FPC信号线，用于串口调试。0.5*14P,PI,200mm,单面,异面,黄色",,SW-PRO,0,
配件,扩展配件,ID1013DMi硬解开发板套装,硬解模组开发板,202404823,模组开发板。可搭配IDMVS客户端+开发板+模组测试。,,SW-1013DMi,0,
配件,扩展配件,ID1013DMi硬解开发板套装,FPC-MV-24375 REV1.0,101268660,FFC信号线，用于数据传输。12pin，0.5mm间距，7.70mm宽，200mm长，单面，黄色,,SW-1013DMi,0,
配件,扩展配件,ID1013DMi硬解开发板套装,"FPC线, FPC-0060 REV1.0",101211754,"FPC信号线，用于串口调试。0.5*14P,PI,200mm,单面,异面,黄色",,SW-1013DMi,0,
配件,扩展配件,外包装,包装盒-ID2000/ID3000,194213827,195x145x135 机器视觉 视觉传感器黄包，适配ID800/ID2013EM/ID2000XM/ID3000系列,,BZ3,1,
配件,扩展配件,外包装,包装盒-ID2000M,194223207,"200X195X135,机器视觉 两进两出IO盒子+相机 中性黄包，适配ID2000M系列",,BZ2,1,
配件,扩展配件,外包装,包装盒-ID5000M中性,194231483,"218X177X175,机器视觉 读码器+线缆中性白盒，适配ID5000M中性系列",,BZ5N,1,
配件,扩展配件,外包装,包装盒-ID5000M标配,194231482,"218X177X175,机器视觉 读码器+线缆logo 白盒，适配ID5000M标配系列",,BZ5H,1,
配件,扩展配件,外包装,包装盒-ID5000XM中性,194230226,228x180x120 机器视觉 (运输标识)中性白盒，适配ID5000XM中性系列,,BZ5XN,1,
配件,扩展配件,外包装,包装盒-ID5000XM标配,194230227,228x180x120 机器视觉 烫银logo白盒，适配ID5000XM标配系列,,BZ5XH,1,
配件,扩展配件,外包装,包装盒-ID5000XM验证器,194200433,纸箱-338(250×210×160)/中星电子硬盘四块散装包装，适配ID5000XM条码验证器,,BZ5XT,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID800/ID2013EM,194405409,192x140x80 机器视觉 ID2000E相机 EPE，适配ID800/ID2013EM系列,,EPE8E,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID2000M,194407684,"197X192X130,机器视觉ID2000相机IO盒子EPE，适配ID2000M系列",,EPE2,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID3000PM,194406336,"192X140X80,机器视觉 三进三出IO盒子+相机 EPE，适配ID3000PM系列",,EPE3P,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID2000XM/ID3000XM,194407130,"192X140X80,ID3000XM读码器EPE，适配ID2000XM/ID3000XM系列",,EPE3X,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID3000RM-00C,194406782,"192X140X50,机器视觉 视觉传感器 填充EPE，适配ID3000RM-00C系列",,EPE3C,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID5000M,194410045,"203X172X110,机器视觉 读码器 线缆 EPE，适配ID5000M系列",,EPE5M,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID5000M-00C,194410044,"203X172X110,机器视觉 ID5120读码器 线缆 EPE，适配ID5000M-00C系列",,EPE5C,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID5000XM,194409360,"203X172X105,机器人SC5000X智能相机EPE，适配ID5000XM系列",,EPE5XM,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID5000XM多色,194411643,"203X172X105,机器视觉-V-读码器023-多色光源-EPE，适配ID5000XM多色型号",,EPE5XD,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID5000XM验证器,194411971,"244X204X156,机器视觉-V-读码器023-条码-EPEE，适配ID5000XM条码验证器",,EPE5XT,1,
配件,扩展配件,泡棉EPE,泡棉EPE-ID5000XM-00C,194410472,"203X172X105,机器人SC5000X C智能相机EPE，适配ID5000XM-00C系列",,EPE5XC,1,
配件,扩展配件,螺丝包,螺丝包M3×6,193100773,螺丝包(3_PSF0M3×6-SUS、绿色PE袋)，适配ID800/ID2013EM/ID2000XM/ID3000XM系列,,M36,1,
配件,扩展配件,螺丝包,螺丝包M2×6,193102445,螺丝包(4_PSF0M2×6、绿色PE袋)，适配ID2000M系列,,M26,1,
配件,扩展配件,螺丝包,螺丝包M4×8,193100772,螺丝包(4_HSCSM4×8NL-SUS、绿色PE袋)，适配ID3000PM/ID5000M/ID5000XM系列,,M48,1,
配件,扩展配件,RF无线模块接收器,RF2.4GHz无线模块USB端,102902700,"USB DONGLE,私有组网,HJ-USB_DONGLE_CUS，适配IDH2000RF系列",,RF2.4G,1,
配件,扩展配件,蓝牙无线模块接收器,蓝牙5.0无线模块USB端,102902945,"USB DONGLE,蓝牙BLE 5.0,USB-HID接口，适配IDH2000B/IDH2000PB系列",,BLE5.0,1,
配件,扩展配件,安装板,一体机支架,192131621,可调高度560~660mm，20mm一个档位，E10 V2.0专用,,BraketMED,1,
配件,扩展配件,安装板,一体机支架,192137572,可调高度460~660mm，20mm一个档位，E10 V2.0专用,,BraketMED,0,
